epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,214.704,1.6105,0.95319,0.90286,0.84271,0.72599,0.78889,0.38154,1.81182,1.25433,0.95616,0.007162,0.007162,0.007162
45,219.489,1.63431,0.94995,0.91227,0.78415,0.71598,0.75565,0.35082,1.85983,1.48493,0.96553,0.007096,0.007096,0.007096
46,224.26,1.60753,0.93192,0.89833,0.9418,0.75708,0.84648,0.4163,1.77402,0.96561,0.93752,0.00703,0.00703,0.00703
47,229.058,1.60044,0.93637,0.89354,0.88242,0.7654,0.83463,0.41395,1.71149,1.03582,0.92791,0.006964,0.006964,0.006964
48,233.881,1.6273,0.95885,0.88826,0.85396,0.70873,0.81011,0.38166,1.84637,1.0774,0.95213,0.006898,0.006898,0.006898
49,238.724,1.52309,0.89563,0.8886,0.89569,0.75976,0.8563,0.40239,1.71515,1.02773,0.93468,0.006832,0.006832,0.006832
50,243.498,1.5757,0.91667,0.8943,0.89994,0.80931,0.86428,0.40025,1.79381,1.0425,0.94394,0.006766,0.006766,0.006766
51,248.273,1.655,0.96485,0.89662,0.82461,0.79437,0.82857,0.39665,1.78752,1.05926,0.94597,0.0067,0.0067,0.0067
52,253.072,1.55968,0.9131,0.899,0.83818,0.77254,0.82723,0.39347,1.76419,1.02055,0.9481,0.006634,0.006634,0.006634
53,257.821,1.54895,0.92445,0.89514,0.86775,0.80231,0.86812,0.40916,1.79119,0.98814,0.93819,0.006568,0.006568,0.006568
54,262.603,1.53397,0.90289,0.88713,0.9261,0.70698,0.82198,0.37413,1.91352,1.03985,0.95462,0.006502,0.006502,0.006502
55,267.408,1.55674,0.89401,0.89297,0.90701,0.72261,0.81801,0.39805,1.80701,1.04455,0.95199,0.006436,0.006436,0.006436
56,272.161,1.55178,0.87879,0.88431,0.87159,0.72972,0.82774,0.36404,2.02943,1.11968,0.97531,0.00637,0.00637,0.00637
57,276.891,1.56226,0.90395,0.89479,0.9241,0.78368,0.85262,0.39801,1.89067,0.99068,0.95326,0.006304,0.006304,0.006304
58,281.671,1.50378,0.84487,0.88454,0.80878,0.72785,0.77788,0.33893,2.04363,1.11104,0.97351,0.006238,0.006238,0.006238
59,286.467,1.53152,0.88724,0.88286,0.92624,0.75209,0.82215,0.38164,1.84244,1.04428,0.96226,0.006172,0.006172,0.006172
60,291.208,1.5385,0.86433,0.88699,0.85049,0.70306,0.76908,0.36025,1.86195,1.13304,0.95634,0.006106,0.006106,0.006106
61,295.972,1.57515,0.89089,0.88441,0.83538,0.73129,0.80696,0.37294,1.87489,1.0933,0.95815,0.00604,0.00604,0.00604
62,300.801,1.47954,0.85729,0.87429,0.94154,0.81776,0.87391,0.4385,1.68834,0.89559,0.92753,0.005974,0.005974,0.005974
63,305.581,1.52227,0.85238,0.8847,0.86445,0.74775,0.78561,0.37159,1.84424,1.06291,0.95361,0.005908,0.005908,0.005908
64,310.334,1.52185,0.86783,0.89104,0.85258,0.75747,0.79917,0.37638,1.83913,1.08988,0.95749,0.005842,0.005842,0.005842
65,315.096,1.51834,0.85089,0.881,0.88343,0.74562,0.84085,0.40397,1.85308,0.98955,0.94511,0.005776,0.005776,0.005776
66,319.843,1.47452,0.81713,0.87149,0.88621,0.78684,0.87038,0.41955,1.82384,0.92731,0.94301,0.00571,0.00571,0.00571
67,324.633,1.51945,0.854,0.87805,0.82808,0.74065,0.82685,0.39052,1.8134,1.03051,0.9525,0.005644,0.005644,0.005644
68,329.494,1.4566,0.81153,0.88011,0.8856,0.75579,0.87265,0.42968,1.77167,0.96805,0.94497,0.005578,0.005578,0.005578
69,334.317,1.45102,0.81125,0.87346,0.92548,0.81546,0.88894,0.44341,1.72457,0.86432,0.93283,0.005512,0.005512,0.005512
70,339.129,1.46335,0.80763,0.86867,0.92398,0.8143,0.86915,0.42583,1.75989,0.90668,0.94063,0.005446,0.005446,0.005446
71,343.975,1.47919,0.80739,0.87528,0.91664,0.76231,0.839,0.41237,1.7733,0.97147,0.93972,0.00538,0.00538,0.00538
72,349.011,1.42058,0.78633,0.8757,0.91199,0.83479,0.88235,0.43448,1.69482,0.8488,0.93275,0.005314,0.005314,0.005314
73,353.847,1.43001,0.80382,0.86894,0.92042,0.79201,0.85779,0.41302,1.80138,0.96063,0.95165,0.005248,0.005248,0.005248
74,358.71,1.42265,0.7933,0.8704,0.86926,0.84822,0.87808,0.40257,1.87378,0.87715,0.95541,0.005182,0.005182,0.005182
75,363.653,1.39839,0.77273,0.86649,0.90429,0.79791,0.84866,0.3889,1.841,0.93966,0.94466,0.005116,0.005116,0.005116
